Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Baby Care,200001330,Baby Training Toothbrush Toddler Clean Teeth Gum Brush Kids Finger Toothbrush Infant Soft Silicone Toothbrush Thimble Brush,4000736219285,https://ae01.alicdn.com/kf/He377cf061ab54194ade9d880fb932014u/Baby-Training-Toothbrush-Toddler-Clean-Teeth-Gum-Brush-Kids-Finger-Toothbrush-Infant-Soft-Silicone-Toothbrush-Thimble.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He377cf061ab54194ade9d880fb932014u.jpg,https://ae04.alicdn.com/kf/Hc6159ca5fbe1415594364fa689bfc724q.jpg,https://ae04.alicdn.com/kf/Hc61bf7ce28184008a9e8c3ea90ae311a6.jpg,https://ae04.alicdn.com/kf/H6141e076f25d4f2ab1985eca89e3f6b88.jpg,https://ae04.alicdn.com/kf/H9644104fd66c4ad1a9de1cc4a573153fE.jpg,",https://www.aliexpress.com/item/4000736219285.html,4.20,2.14,8.00%,2098-12-31,49%,https://s.click.aliexpress.com/e/_9HvyVR
Baby Care,200001330,Baby Bath Waterfall Rinser Kids Shampoo Rinse Cup Bath Shower Washing Head Children Bathing Baby Shower Spoons Child Washing New,1005002603924478,https://ae01.alicdn.com/kf/H3894b60f31fd41739cefbbca98ee9fcfp/Baby-Bath-Waterfall-Rinser-Kids-Shampoo-Rinse-Cup-Bath-Shower-Washing-Head-Children-Bathing-Baby-Shower.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3894b60f31fd41739cefbbca98ee9fcfp.jpg,https://ae04.alicdn.com/kf/H4501c01214264a90914fce4a780364efZ.jpg,https://ae04.alicdn.com/kf/H86c87940a1b3406e9214d0ee2b21dfc9l.jpg,https://ae04.alicdn.com/kf/H1aa2f480f329499fa2675b305b277762g.jpg,https://ae04.alicdn.com/kf/Hb29c9dde95d74cd3a8deaabb81e48cfdM.jpg,",https://www.aliexpress.com/item/1005002603924478.html,8.29,8.29,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_A2Q4Iv
Baby Care,200001330,Foldable Bathtub Baby Born Collapsible Bathtub Adult Folding Bath Adult Mat In The Bathroom Banheira Adulto Folding Bath BA5,1005001747212968,https://ae01.alicdn.com/kf/H8c7b31369ea54d28816480a0118a384dD/Foldable-Bathtub-Baby-Born-Collapsible-Bathtub-Adult-Folding-Bath-Adult-Mat-In-The-Bathroom-Banheira-Adulto.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8c7b31369ea54d28816480a0118a384dD.jpg,https://ae04.alicdn.com/kf/Hb637d96940ad488e862b88064bde22c9S.jpg,https://ae04.alicdn.com/kf/H4b3b4313ca3141b59d12f326d99ab620J.jpg,https://ae04.alicdn.com/kf/Hcacf04bc1bf64ae2b071ade09a65b3326.jpg,https://ae04.alicdn.com/kf/Hf14f1ff8512b4e6384d8874f28ade0e4u.jpg,",https://www.aliexpress.com/item/1005001747212968.html,158.17,86.99,8.00%,2098-12-31,45%,https://s.click.aliexpress.com/e/_A88gnF
Baby Care,200001330,2021 Summer Customized Gifts Infant Baby Teether Toys Sand Beach Toy Outdoor Toys For Children Fidget Toys Baby Accessories,1005002602751468,https://ae01.alicdn.com/kf/H744a3282b2a2451c8775106b8c6177cbT/2021-Summer-Customized-Gifts-Infant-Baby-Teether-Toys-Sand-Beach-Toy-Outdoor-Toys-For-Children-Fidget.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H744a3282b2a2451c8775106b8c6177cbT.jpg,https://ae04.alicdn.com/kf/H256591b114334da29a3c05d13c4a1a11J.jpg,https://ae04.alicdn.com/kf/Hf30e4a8749ea41849655d82a8448267bv.jpg,https://ae04.alicdn.com/kf/Hef593ab9bff5472f85e6436f19036fc9s.jpg,https://ae04.alicdn.com/kf/Hf486c8ca39934c97b65ead8841710b27Q.jpg,",https://www.aliexpress.com/item/1005002602751468.html,19.10,19.10,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_Achk2D
Baby Care,200001330,Children Baby Jacquard Small Towel Rectangular Cartoon Kids Face Wash Towels Soft Absorbent Three-layer Cotton Gauze,1005002448743546,https://ae01.alicdn.com/kf/H30791662222c4092abd00c2ed401092co/Children-Baby-Jacquard-Small-Towel-Rectangular-Cartoon-Kids-Face-Wash-Towels-Soft-Absorbent-Three-layer-Cotton.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H30791662222c4092abd00c2ed401092co.jpg,https://ae04.alicdn.com/kf/Hbe36901b883342f8af6fc3b824797de9M.jpg,https://ae04.alicdn.com/kf/Hf56bab7da4924ea79c791006605d6813W.jpg,https://ae04.alicdn.com/kf/He3d55e71e76b44e5abe5b4466b2a31aer.jpg,https://ae04.alicdn.com/kf/Hef3f744fc96246f9a2f5e655b1e044986.jpg,",https://www.aliexpress.com/item/1005002448743546.html,3.37,3.37,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_APHSTb
Baby Care,200001330,Kpop Fashion Cotton Pure and Fresh Style Cartoon Rabbit Sheep Koala Face Towel Material Soft And Protect Your Skin 75*36CM,1005002603425519,https://ae01.alicdn.com/kf/H8ff07975e39c4871beb8b14e76e9f2a3q/Kpop-Fashion-Cotton-Pure-and-Fresh-Style-Cartoon-Rabbit-Sheep-Koala-Face-Towel-Material-Soft-And.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8ff07975e39c4871beb8b14e76e9f2a3q.jpg,https://ae04.alicdn.com/kf/H10a6afea87274b68a74308f9d0738ef8s.jpg,https://ae04.alicdn.com/kf/Hacfea80e7cd44f83ac516e64a782bcf9a.jpg,https://ae04.alicdn.com/kf/H601c7dfcfb594b268d8992c1806eeb98n.jpg,https://ae04.alicdn.com/kf/Hd272cea2c0d7468ea6b70da47373d960e.jpg,",https://www.aliexpress.com/item/1005002603425519.html,3.73,3.73,10.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_99CPZj
Baby Care,200001330,Reative Hairdressing Wide Tooth Hair Combs Scalp Massage Hair Brush Salon Tool,1005002532450802,https://ae01.alicdn.com/kf/H8b838e7c68a8478796a1dc84c2a1f3eaX/Reative-Hairdressing-Wide-Tooth-Hair-Combs-Scalp-Massage-Hair-Brush-Salon-Tool.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8b838e7c68a8478796a1dc84c2a1f3eaX.jpg,https://ae04.alicdn.com/kf/H9403c04e5414423d90796a0894d53bc5c.jpg,https://ae04.alicdn.com/kf/He5596ba68a094a62bd51bda78c84125ej.jpg,https://ae04.alicdn.com/kf/Hf0a5daec34c04036bbcd80c337e00680A.jpg,https://ae04.alicdn.com/kf/H3b24866726dc43b3b18a9d4c84cb4716C.jpg,",https://www.aliexpress.com/item/1005002532450802.html,2.59,2.59,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AbLprP
Baby Care,200001330,Baby Bath Pillow Soft Nonslip Baby Bath Mat Comfy Floating Bathing Pad for Newborn Infant Toddler,1005001303697783,https://ae01.alicdn.com/kf/Hb1c41ad12e63406684b96e85fadfac58R/Baby-Bath-Pillow-Soft-Nonslip-Baby-Bath-Mat-Comfy-Floating-Bathing-Pad-for-Newborn-Infant-Toddler.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb1c41ad12e63406684b96e85fadfac58R.jpg,https://ae04.alicdn.com/kf/H0b88c2d0f9594240a229871275200df1i.jpg,https://ae04.alicdn.com/kf/H58be59f3745b4f4bb446213704ca1afbE.jpg,https://ae04.alicdn.com/kf/H423a3f6a8c234facad8cbe76a04449bcd.jpg,https://ae04.alicdn.com/kf/H33f6073b23484b09b2c42247a9f226b4P.jpg,",https://www.aliexpress.com/item/1005001303697783.html,4.98,2.99,10.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_ArAbdF
Baby Care,200001330,Soft Baby Nasal Aspirator Electric Safe Hygienic Nose Cleaner For Boy Girls Newborn Infant Toddler Child Snot Sucker Baby Care,1005002605188034,https://ae01.alicdn.com/kf/H390732f09f974ac9a7f787eedaf0ca4bS/Soft-Baby-Nasal-Aspirator-Electric-Safe-Hygienic-Nose-Cleaner-For-Boy-Girls-Newborn-Infant-Toddler-Child.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H390732f09f974ac9a7f787eedaf0ca4bS.jpg,https://ae04.alicdn.com/kf/H9a32272249f2498f88ec3d7e257c2a56h.jpg,https://ae04.alicdn.com/kf/H00c379a26c9e4ab49f0c0252038767bfn.jpg,https://ae04.alicdn.com/kf/H794a71624ffe469e806ad1fab76a3ed4e.jpg,https://ae04.alicdn.com/kf/H780a334f797a4e27befcf268753cbfd7I.jpg,",https://www.aliexpress.com/item/1005002605188034.html,11.96,11.96,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9GUb7r
Baby Care,200001330,Baby Bath Toys For Kids Bath Toys Sucker Shower Electric Spray Water Toys For Toddlers Outside Pool Bathtub Toys Sprinkler,1005002597625105,https://ae01.alicdn.com/kf/Hc65e1bd5dded4f23989f7a66e26b57c1T/Baby-Bath-Toys-For-Kids-Bath-Toys-Sucker-Shower-Electric-Spray-Water-Toys-For-Toddlers-Outside.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc65e1bd5dded4f23989f7a66e26b57c1T.jpg,https://ae04.alicdn.com/kf/H61a29d4165ae4cb48e9c249b5df252c5j.jpg,https://ae04.alicdn.com/kf/H3c4715541772480e94245f4d0b57edd2e.jpg,https://ae04.alicdn.com/kf/H316fd95a5e854fa487e2ae92b1faaa972.jpg,https://ae04.alicdn.com/kf/Hdba4b4cc1c734068a78ac1273818eb2f6.jpg,",https://www.aliexpress.com/item/1005002597625105.html,2.96,2.96,10.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_ApYtyp
