Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Baby Shoes,200000937,Winter Baby Girls' Shoes Cotton  Soft-Soled Toddler Shoes Non-Slip Newborns Shoes Coral Fleece Keeps Warm,1005002591716278,https://ae01.alicdn.com/kf/H786dc37102de4859a1581a40f0217e48E/Winter-Baby-Girls-Shoes-Cotton-Soft-Soled-Toddler-Shoes-Non-Slip-Newborns-Shoes-Coral-Fleece-Keeps.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H786dc37102de4859a1581a40f0217e48E.jpg,https://ae04.alicdn.com/kf/H1c0dbad398654409a0d45c3ef4429088r.jpg,https://ae04.alicdn.com/kf/Hbcd3540fe2d0465c8dd83b58d8d6850eE.jpg,https://ae04.alicdn.com/kf/H1243f6ee97d64e45a127b0bb92496989g.jpg,https://ae04.alicdn.com/kf/H04127b72e5284eb88312be54c2b739333.jpg,",https://www.aliexpress.com/item/1005002591716278.html,15.70,15.70,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9Hr0zh
Baby Shoes,200000937,Hot Summer Cool Baby Sandals Shoes Skidproof Toddlers Infant Baby Flower Shoes PU Leather Non-Slip First Walkers 0-18M,32989517146,https://ae01.alicdn.com/kf/HTB16S0tM3HqK1RjSZFEq6AGMXXaK/Hot-Summer-Cool-Baby-Sandals-Shoes-Skidproof-Toddlers-Infant-Baby-Flower-Shoes-PU-Leather-Non-Slip.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB16S0tM3HqK1RjSZFEq6AGMXXaK.jpg,https://ae04.alicdn.com/kf/HTB1UttvMVzqK1RjSZFCq6zbxVXaH.jpg,https://ae04.alicdn.com/kf/HTB12fXsM3HqK1RjSZFPq6AwapXaI.jpg,https://ae04.alicdn.com/kf/HTB1hS0rM7zoK1RjSZFlq6yi4VXaT.jpg,https://ae04.alicdn.com/kf/HTB1Z90rM7zoK1RjSZFlq6yi4VXal.jpg,",https://www.aliexpress.com/item/32989517146.html,5.91,4.49,8.00%,2098-12-31,24%,https://s.click.aliexpress.com/e/_Acu8Cn
Baby Shoes,200000937,2021 Baby Girls Boys Winter Keep Warm Shoes First Walkers Sneakers Kids Crib Infant Toddler Footwear Boots Newborns Prewalkers,1005002566594815,https://ae01.alicdn.com/kf/He6e1ceba05684eab9cfdaaa422b8f909T/2021-Baby-Girls-Boys-Winter-Keep-Warm-Shoes-First-Walkers-Sneakers-Kids-Crib-Infant-Toddler-Footwear.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He6e1ceba05684eab9cfdaaa422b8f909T.jpg,https://ae04.alicdn.com/kf/H474ed6399f8a404490d9cd0808ae9c91S.jpg,https://ae04.alicdn.com/kf/H4767878b04314774a6fe284cfd42ae043.jpg,https://ae04.alicdn.com/kf/H70290c735b754cf3b225e4583986eb41i.jpg,https://ae04.alicdn.com/kf/Hefab42a3f48048498768b6523de4f140M.jpg,",https://www.aliexpress.com/item/1005002566594815.html,14.79,14.79,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_As10rV
Baby Shoes,200000937,Knit  Baby Girl Shoes Animal Cartoon Cute Newborn Baby Shoes Soft Bottom Anti-slip First Walkers 0-18M Boys Shoes,1005002586109281,https://ae01.alicdn.com/kf/H3acddb81649b40519201945c0e07be66z/Knit-Baby-Girl-Shoes-Animal-Cartoon-Cute-Newborn-Baby-Shoes-Soft-Bottom-Anti-slip-First-Walkers.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3acddb81649b40519201945c0e07be66z.jpg,https://ae04.alicdn.com/kf/H5f31363ab542420191f8008280d352f3I.jpg,https://ae04.alicdn.com/kf/Hf54bbc96ed434695a5fc3bb2a75bd1b2v.jpg,https://ae04.alicdn.com/kf/H27b0ed0491ad4af4af96409c290b457dF.jpg,https://ae04.alicdn.com/kf/Hb28d79a4a8a145b8b440ceb917f7a43fS.jpg,",https://www.aliexpress.com/item/1005002586109281.html,14.32,14.32,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9AVwKT
Baby Shoes,200000937,Spring  Atumn Baby Girls Shoes Bowknot Cotton Sweet Boots Soft Soled Non-slip First Walkers 0-24M,1005001608498823,https://ae01.alicdn.com/kf/H9cede847c46b4867bbf61452435a8098S/Spring-Atumn-Baby-Girls-Shoes-Bowknot-Cotton-Sweet-Boots-Soft-Soled-Non-slip-First-Walkers-0.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9cede847c46b4867bbf61452435a8098S.jpg,https://ae04.alicdn.com/kf/H00e86b4e554b4f958e56fa250e5e4be6l.jpg,https://ae04.alicdn.com/kf/Hb18d161f8fba4db5929c3be40fa080672.jpg,https://ae04.alicdn.com/kf/H3a353c6cd40b42a2a82be9a077af433es.jpg,https://ae04.alicdn.com/kf/H211ecac7f994411ebe8148e14d0b194dE.jpg,",https://www.aliexpress.com/item/1005001608498823.html,4.13,4.13,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_A8E4Wx
Baby Shoes,200000937,2021 Spring Kids Sport Shoes For Boys Running Sneakers Casual Sneaker Breathable Children's Fashion Shoes Platform Light Shoes,1005002583556068,https://ae01.alicdn.com/kf/Ha7a91586fad6441387fb9e022a676582D/2021-Spring-Kids-Sport-Shoes-For-Boys-Running-Sneakers-Casual-Sneaker-Breathable-Children-s-Fashion-Shoes.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha7a91586fad6441387fb9e022a676582D.jpg,https://ae04.alicdn.com/kf/H1128bdbbae064a828090ac96086db0f5R.jpg,https://ae04.alicdn.com/kf/H21ee8ce8a6e74cfb9e7a13a5c0fabeeco.jpg,https://ae04.alicdn.com/kf/H258e4d4e09aa4d139d40e195c1116c90z.jpg,https://ae04.alicdn.com/kf/Hc53c9f707601438f8da5d6dbaeecad5aJ.jpg,",https://www.aliexpress.com/item/1005002583556068.html,9.90,9.90,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AEQ5nD
Baby Shoes,200000937,Toddler Newborn Baby Boys Girls Casual Shoes Spring Autumn Non-Slip Soft Sole First Walkers 0-12M,32997538587,https://ae01.alicdn.com/kf/HTB12Q1wOVzqK1RjSZFCq6zbxVXaE/Toddler-Newborn-Baby-Boys-Girls-Casual-Shoes-Spring-Autumn-Non-Slip-Soft-Sole-First-Walkers-0.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB12Q1wOVzqK1RjSZFCq6zbxVXaE.jpg,https://ae04.alicdn.com/kf/HTB1a4ajO3TqK1RjSZPhq6xfOFXas.jpg,https://ae04.alicdn.com/kf/HTB14nSjO6DpK1RjSZFrq6y78VXam.jpg,https://ae04.alicdn.com/kf/HTB1gkOFO4YaK1RjSZFnq6y80pXaS.jpg,https://ae04.alicdn.com/kf/HTB1MJKuO7zoK1RjSZFlq6yi4VXaP.jpg,",https://www.aliexpress.com/item/32997538587.html,4.86,3.69,8.00%,2098-12-31,24%,https://s.click.aliexpress.com/e/_AP3ewj
Baby Shoes,200000937,2021 Newborn Baby Girls Kid Prewalker Lovely Bow Infant Toddler Princess First Walkers Soft Soled Shoe Floral Shoes Footwear,1005002586138431,https://ae01.alicdn.com/kf/H2d3cd3e9d68e46bc8e8819e9e5159faag/2021-Newborn-Baby-Girls-Kid-Prewalker-Lovely-Bow-Infant-Toddler-Princess-First-Walkers-Soft-Soled-Shoe.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2d3cd3e9d68e46bc8e8819e9e5159faag.jpg,https://ae04.alicdn.com/kf/H1637e128b61d4cf293678e420d393b74i.jpg,https://ae04.alicdn.com/kf/H4ec1ee0e655343dba4b9c2f1777d46d84.jpg,https://ae04.alicdn.com/kf/H2cdebd963bc046f693fbebf12e489d8eA.jpg,https://ae04.alicdn.com/kf/He7afcd8437fb4de2b9c0e45df5796f2bm.jpg,",https://www.aliexpress.com/item/1005002586138431.html,12.85,12.85,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9yDBSR
Baby Shoes,200000937,Baby Shoes For Newborn Cute Animal Pattern Baby Boot keep Warm Anti-Slip First Walker Soft Sole Kids Shoes,1005002567714960,https://ae01.alicdn.com/kf/Hcd8049704bfc4845beed428a7124b33eg/Baby-Shoes-For-Newborn-Cute-Animal-Pattern-Baby-Boot-keep-Warm-Anti-Slip-First-Walker-Soft.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hcd8049704bfc4845beed428a7124b33eg.jpg,https://ae04.alicdn.com/kf/H6430d075163144ae98558bb01602f45fi.jpg,https://ae04.alicdn.com/kf/H11823ba975104793b2c5fe8d0fd617e9K.jpg,https://ae04.alicdn.com/kf/H12e5e6079f4d40d586e2a9cd580c2751K.jpg,https://ae04.alicdn.com/kf/H1fa4ab9be48740a3bd80f5ea036af3bcU.jpg,",https://www.aliexpress.com/item/1005002567714960.html,14.83,14.83,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AF627N
Baby Shoes,200000937,2021 Newborn Baby Boys Girls Shoes Winter Warm Soft Sole Lace-Up Cross-tied Anti-Slip Frist Walkers 0-18M,1005001304767700,https://ae01.alicdn.com/kf/Hf78da9dc7e4d4cf0a18d27052b3fd15cz/2021-Newborn-Baby-Boys-Girls-Shoes-Winter-Warm-Soft-Sole-Lace-Up-Cross-tied-Anti-Slip.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf78da9dc7e4d4cf0a18d27052b3fd15cz.jpg,https://ae04.alicdn.com/kf/H74e92fe9b3d24eac8f67602619c78928F.jpg,https://ae04.alicdn.com/kf/H25b6dcdd444748b58723fdcb9dd9f77bD.jpg,https://ae04.alicdn.com/kf/H3f71d345e5b344da9598b09766f00e67G.jpg,https://ae04.alicdn.com/kf/H5249d1affdf141efa22ae2dff7da45dcW.jpg,",https://www.aliexpress.com/item/1005001304767700.html,6.98,5.30,8.00%,2098-12-31,24%,https://s.click.aliexpress.com/e/_9whkYr
